gx,gy,gz,energy
-0.05643417272666718,0.04100182651872398,0.9975640502598242,0.002704404386184353
-0.05783073766282914,0.039007325088858354,0.9975640502598242,0.0026532586457793028
-0.05915684475329118,0.03696529924198976,0.9975640502598242,0.002601039743666833
-0.06041087834083471,0.034878236872062644,0.9975640502598242,0.002548002085089008
-0.06159131057870238,0.032748680743087455,0.9975640502598242,0.002494404064187094
-0.06269670329204399,0.03057922539117437,0.9975640502598242,0.002440506805131271
-0.06372570973011102,0.028372513963490737,0.9975640502598242,0.002386572889949925
-0.06467707620706499,0.026131234997993306,0.9975640502598242,0.0023328650792563996
-0.06554964362940051,0.023858119147858993,0.9975640502598242,0.002279645032105705
-0.06634234890812216,0.02155593585460454,0.9975640502598242,0.0022271720312178997
-0.0670542262539547,0.01922748997394863,0.9975640502598242,0.00217570171977874
-0.06768440835400855,0.016875618358527245,0.9975640502598242,0.0021254848559717804
-0.06823212742846688,0.014503186401625725,0.9975640502598242,0.002076766091309707
-0.06869671616600713,0.012113084546138428,0.9975640502598242,0.00202978277871676
-0.06907760853681702,0.009708224763009296,0.9975640502598242,0.0019847638161691462
-0.06937434048221469,0.0072915370034438536,0.9975640502598242,0.0019419285315271087
-0.06958655048003272,0.004865965629214858,0.9975640502598242,0.0019014856139916332
-0.06971397998507722,0.0024344658254112084,0.9975640502598242,0.0018636320973916469
-0.0697564737441253,8.542704229054943e-18,0.9975640502598242,0.0018285524002550015
-0.06971397998507722,-0.0024344658254111915,0.9975640502598242,0.0017964174273399482
-0.06958655048003272,-0.004865965629214841,0.9975640502598242,0.001767383737004333
-0.06937434048221469,-0.007291537003443837,0.9975640502598242,0.0017415927784690153
-0.06907760853681702,-0.00970822476300931,0.9975640502598242,0.0017191702026914803
-0.06869671616600713,-0.012113084546138441,0.9975640502598242,0.001700225250207007
-0.06823212742846686,-0.014503186401625739,0.9975640502598242,0.0016848502189197587
-0.06768440835400855,-0.01687561835852723,0.9975640502598242,0.0016731200144366768
-0.0670542262539547,-0.019227489973948613,0.9975640502598242,0.001665091785134884
-0.06634234890812216,-0.021555935854604528,0.9975640502598242,0.0016608046437405453
-0.06554964362940052,-0.02385811914785898,0.9975640502598242,0.0016602794767755923
-0.064677076207065,-0.02613123499799329,0.9975640502598242,0.0016635188428006876
-0.06372570973011102,-0.028372513963490723,0.9975640502598242,0.001670506959950177
-0.06269670329204398,-0.03057922539117438,0.9975640502598242,0.0016812097828197514
-0.06159131057870237,-0.03274868074308747,0.9975640502598242,0.0016955751683322353
-0.0604108783408347,-0.03487823687206266,0.9975640502598242,0.0017135331297734142
-0.059156844753291186,-0.03696529924198975,0.9975640502598242,0.0017349961777602747
-0.05783073766282915,-0.03900732508885833,0.9975640502598242,0.0017598597464804834
