theta1,theta2,omega1,omega2,state,impulse
81.6020402843851,-1.7216348460378645,-20.388712813182792,-9.53233936828741,1,0
81.54626172473695,-1.7478254036747485,-20.3565852134725,-9.599554341385044,1,0
81.49057369868505,-1.7741991408572213,-20.322551023071355,-9.666128096824195,1,0
81.43498150010686,-1.800754236511568,-20.286556780472893,-9.73201247154583,1,0
81.37949056778582,-1.8274887368684236,-20.24855017615846,-9.79715873972043,1,0
81.3241064820307,-1.854400554045972,-20.208480220493584,-9.86151770664452,1,0
81.26883496082897,-1.8814874648993312,-20.166297415122244,-9.925039808888528,1,0
81.21368185552764,-1.9087471101521378,-20.121953926713104,-9.987675220307267,1,0
81.15865314603519,-1.936176993826407,-20.075403762351925,-10.049373963686776,1,0
81.10375493554214,-1.9637744829854675,-20.026602945885315,-10.110086027835507,1,0
81.04899344475724,-1.9915368078049729,-19.975509693738786,-10.169761489429447,1,0
80.9943750056654,-2.0194610619830273,-19.9220845898235,-10.228350639514474,1,0
80.93990605480613,-2.0475442035038887,-19.866290758236573,-10.285804114020948,1,0
80.88559312608574,-2.075783055762745,-19.80809403276544,-10.342073027766617,1,0
80.83144284312775,-2.1041743090631857,-19.74746312230309,-10.39710911148262,1,0
80.77746191117922,-2.1327145224922877,-19.684369770206104,-10.450864850772234,1,0
80.72365710858863,-2.1614001261789815,-19.618788907166163,-10.503293626630182,1,0
80.67003527787509,-2.1902274239385857,-19.550698796794677,-10.554349856982412,1,0
80.61660331640904,-2.2191925963061947,-19.480081171885104,-10.603989137964845,1,0
80.56336816673542,-2.2482917039548203,-19.40692136065445,-10.652168384386016,1,0
80.51033680656289,-2.277520691497905,-19.331208402045377,-10.69884596852927,1,0
80.4575162384559,-2.306875391667506,-19.25293514884288,-10.743981856358573,1,0
80.40491347925916,-2.336351529862634,-19.17209835779613,-10.78753774036312,1,0
80.35253554929616,-2.3659447290548465,-19.088698765837762,-10.829477168132314,1,0
80.30038946137643,-2.3956505150406344,-19.00274115139473,-10.869765665690409,1,0
80.24848220965814,-2.425464322022351,-18.9142343803087,-10.90837085483821,1,0
80.19682075840416,-2.4553814985031295,-18.823191435836634,-10.945262563844551,1,0
80.14541203068025,-2.48539731347393,-18.72962943188577,-10.980412930388866,1,0
80.09426289703859,-2.5155069628721307,-18.63356960946294,-11.013796496254201,1,0
80.04338016423556,-2.5457055762870944,-18.535037315830778,-11.045390292971035,1,0
79.99277056402926,-2.575988223887715,-18.434061966889203,-11.075173918074654,1,0
79.94244074210337,-2.6063499235455456,-18.330676991992732,-11.10312960104335,1,0
79.89239724716688,-2.6367856481234075,-18.224919761742058,-11.129242258618774,1,0
79.84264652027316,-2.6672903329014326,-18.116831499688487,-11.153499539435586,1,0
