lag_days,prob_condition_after_event,global_event_probability,body,lag_enrichment
34,0.014423076923076924,0.050024050024050026,Venus,0.2883228550295858
35,0.01201923076923077,0.050024050024050026,Venus,0.24026904585798817
36,0.009615384615384616,0.050024050024050026,Venus,0.19221523668639054
37,0.007211538461538462,0.050024050024050026,Venus,0.1441614275147929
38,0.004807692307692308,0.050024050024050026,Venus,0.09610761834319527
39,0.004807692307692308,0.050024050024050026,Venus,0.09610761834319527
40,0.004807692307692308,0.050024050024050026,Venus,0.09610761834319527
41,0.004807692307692308,0.050024050024050026,Venus,0.09610761834319527
42,0.004807692307692308,0.050024050024050026,Venus,0.09610761834319527
43,0.006009615384615385,0.050024050024050026,Venus,0.12013452292899408
44,0.007211538461538462,0.050024050024050026,Venus,0.1441614275147929
45,0.008413461538461538,0.050024050024050026,Venus,0.1681883321005917
46,0.009615384615384616,0.050024050024050026,Venus,0.19221523668639054
47,0.010817307692307692,0.050024050024050026,Venus,0.21624214127218933
48,0.01201923076923077,0.050024050024050026,Venus,0.24026904585798817
49,0.013221153846153846,0.050024050024050026,Venus,0.26429595044378695
50,0.014423076923076924,0.050024050024050026,Venus,0.2883228550295858
51,0.015625,0.050024050024050026,Venus,0.3123497596153846
52,0.016826923076923076,0.050024050024050026,Venus,0.3363766642011834
